FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-11-10,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1722,MCO,"Orlando, FL",DAL,"Dallas, TX",810,,,,,,,1000,,,CANCELLED,B,NOT DIVERTED,170.0,,,973.0,,,,,,2022
2022-02-03,Republic Airline,Republic Airline: YX,YX,20452,4944,DTW,"Detroit, MI",LGA,"New York, NY",1502,,,,,,,1700,,,CANCELLED,B,NOT DIVERTED,118.0,,,502.0,,,,,,2022
2022-07-14,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,967,LAS,"Las Vegas, NV",LAX,"Los Angeles, CA",1948,,,,,,,2100,,,CANCELLED,C,NOT DIVERTED,72.0,,,236.0,,,,,,2022
2022-06-09,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,335,LAS,"Las Vegas, NV",JFK,"New York, NY",2256,,,,,,,700,,,CANCELLED,A,NOT DIVERTED,304.0,,,2248.0,,,,,,2022
2022-06-14,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1846,MEM,"Memphis, TN",CLT,"Charlotte, NC",707,,,,,,,956,,,CANCELLED,A,NOT DIVERTED,109.0,,,511.0,,,,,,2022
2022-09-29,Republic Airline,Republic Airline: YX,YX,20452,3693,JAX,"Jacksonville, FL",ORD,"Chicago, IL",1130,,,,,,,1313,,,CANCELLED,B,NOT DIVERTED,163.0,,,864.0,,,,,,2022
2022-09-04,Republic Airline,Republic Airline: YX,YX,20452,3655,EWR,"Newark, NJ",SDF,"Louisville, KY",1652,,,,,,,1919,,,CANCELLED,B,NOT DIVERTED,147.0,,,642.0,,,,,,2022
2022-12-23,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2112,DEN,"Denver, CO",IAH,"Houston, TX",2036,,,,,,,2355,,,CANCELLED,B,NOT DIVERTED,139.0,,,862.0,,,,,,2022
2022-06-04,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5838,DFW,"Dallas/Fort Worth, TX",MAF,"Midland/Odessa, TX",840,,,,,,,953,,,CANCELLED,A,NOT DIVERTED,73.0,,,309.0,,,,,,2022
2022-06-17,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5311,DCA,"Washington, DC",HSV,"Huntsville, AL",838,,,,,,,937,,,CANCELLED,B,NOT DIVERTED,119.0,,,613.0,,,,,,2022
2022-07-30,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,524,DFW,"Dallas/Fort Worth, TX",LAX,"Los Angeles, CA",808,,,,,,,922,,,CANCELLED,A,NOT DIVERTED,194.0,,,1235.0,,,,,,2022
2022-12-24,Allegiant Air,Allegiant Air: G4,G4,20368,947,PGD,"Punta Gorda, FL",IAG,"Niagara Falls, NY",700,,,,,,,948,,,CANCELLED,B,NOT DIVERTED,168.0,,,1129.0,,,,,,2022
2022-12-23,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3283,GCK,"Garden City, KS",DFW,"Dallas/Fort Worth, TX",600,,,,,,,730,,,CANCELLED,B,NOT DIVERTED,90.0,,,404.0,,,,,,2022
2022-09-28,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1822,MSY,"New Orleans, LA",TPA,"Tampa, FL",833,,,,,,,1106,,,CANCELLED,B,NOT DIVERTED,93.0,,,488.0,,,,,,2022
2022-07-21,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5398,BTV,"Burlington, VT",LGA,"New York, NY",1816,,,,,,,1935,,,CANCELLED,B,NOT DIVERTED,79.0,,,258.0,,,,,,2022
2022-04-19,JetBlue Airways,JetBlue Airways: B6,B6,20409,231,BOS,"Boston, MA",LGA,"New York, NY",600,,,,,,,718,,,CANCELLED,A,NOT DIVERTED,78.0,,,184.0,,,,,,2022
